AR	$2.57
AU	$4.81
BR	$5.86
GB	$4.93
CA	$5.25
CL	$3.72
CN	$2.73
CO	$4.65
CR	$4.00
CZ	$3.46
DK	$5.15
EG	$2.37
--	$4.95
HK	$2.43
HU	$3.77
IN	$1.75
ID	$2.43
IL	$5.13
JP	$3.64
LT	$3.49
MY	$2.41
MX	$3.25
NZ	$4.94
NO	$7.76
PK	$3.04
PE	$3.59
PH	$3.70
PL	$3.00
RU	$2.55
SA	$2.93
SG	$3.80
ZA	$2.33
KR	$4.00
LK	$2.69
SE	$5.95
CH	$6.83
TW	$2.63
TH	$3.12
TR	$4.42
AE	$3.54
UA	$1.63
US	$4.80
UY	$4.92
VE	$6.82
VN	$2.83
AT	$4.56
BE	$4.98
EE	$3.90
FI	$5.52
FR	$5.25
DE	$4.94
GR	$4.11
IE	$4.70
IT	$5.18
NL	$4.64
PT	$4.04
ES	$4.91
